Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.8474105221435943032711392119,0.847410522143594,0.847410522143594,0.847410522143594,0.847410522143594,0,0,0,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,289946
0.01,2,0.8474105221435943032711392119,0.858471032854611,0.858471032854611,0.848443905499171,0.848443905499171,0.272329715191985,0.3021240262678943174148825473,0.3021240262678943174148825473,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,289946
0.01,4,0.8474105221435943032711392119,0.891630025683233,0.891630025683233,0.851554155395162,0.851554155395162,0.543374719566689,0.6042480525357886348297650945,0.6042480525357886348297650945,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,289946
0.02,0,0.8279074787366514295521822115,0.827907478736652,0.827907478736652,0.827907478736652,0.827907478736652,0,0,0,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,579892
0.02,2,0.8279074787366514295521822115,0.83895610147875,0.83895610147875,0.828917078908148,0.828917078908148,0.273011191612208,0.3021240262678943174148825473,0.3021240262678943174148825473,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,579892
0.02,4,0.8279074787366514295521822115,0.872079357832019,0.872079357832019,0.831955746805636,0.831955746805636,0.544741835440891,0.6042480525357886348297650945,0.6042480525357886348297650945,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,579892
0.03,0,0.8555310332956407072474447526,0.855531033295641,0.855531033295641,0.855531033295641,0.855531033295641,0,0,0,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,869838
0.03,2,0.8555310332956407072474447526,0.866596493817934,0.866596493817934,0.8565743192909,0.8565743192909,0.27204596784267,0.3021240262678943174148825473,0.3021240262678943174148825473,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,869838
0.03,4,0.8555310332956407072474447526,0.89977036629588,0.89977036629588,0.859714373889931,0.859714373889931,0.542805491499512,0.6042480525357886348297650945,0.6042480525357886348297650945,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,869838
0.04,0,0.8678474272683729846869299231,0.867847427268373,0.867847427268373,0.867847427268373,0.867847427268373,0,0,0,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,1159784
0.04,2,0.8678474272683729846869299231,0.878920395178395,0.878920395178395,0.868905732615174,0.868905732615174,0.271615607724022,0.3021240262678943174148825473,0.3021240262678943174148825473,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,1159784
0.04,4,0.8678474272683729846869299231,0.912116835647421,0.912116835647421,0.872090992061291,0.872090992061291,0.541942142259001,0.6042480525357886348297650945,0.6042480525357886348297650945,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,1159784
0.05,0,0.8739312782895079639314944713,0.873931278289508,0.873931278289508,0.873931278289508,0.873931278289508,0,0,0,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,1449730
0.05,2,0.8739312782895079639314944713,0.885007954576234,0.885007954576234,0.874997002650138,0.874997002650138,0.271403025465523,0.3021240262678943174148825473,0.3021240262678943174148825473,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,1449730
0.05,4,0.8739312782895079639314944713,0.918215542812691,0.918215542812691,0.878204591647885,0.878204591647885,0.541515679109956,0.6042480525357886348297650945,0.6042480525357886348297650945,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,1449730
0.06,0,0.8771033217809511457456856515,0.877103321780951,0.877103321780951,0.877103321780951,0.877103321780951,0,0,0,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,1739676
0.06,2,0.8771033217809511457456856515,0.888181931568703,0.888181931568703,0.878172914322187,0.878172914322187,0.271292187746597,0.3021240262678943174148825473,0.3021240262678943174148825473,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,1739676
0.06,4,0.8771033217809511457456856515,0.92139533211105,0.92139533211105,0.88139214566763,0.88139214566763,0.54129332658167,0.6042480525357886348297650945,0.6042480525357886348297650945,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,1739676
0.07,0,0.8787619518538021261387323896,0.878761951853802,0.878761951853802,0.878761951853802,0.878761951853802,0,0,0,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,2029622
0.07,2,0.8787619518538021261387323896,0.889841572650058,0.889841572650058,0.879833567028302,0.879833567028302,0.271234231802956,0.3021240262678943174148825473,0.3021240262678943174148825473,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,2029622
0.07,4,0.8787619518538021261387323896,0.923058012389492,0.923058012389492,0.883058886041854,0.883058886041854,0.541177060650517,0.6042480525357886348297650945,0.6042480525357886348297650945,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,2029622
0.08,0,0.8795759771334388142767403074,0.879575977133439,0.879575977133439,0.879575977133439,0.879575977133439,0,0,0,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,2319568
0.08,2,0.8795759771334388142767403074,0.890656094114164,0.890656094114164,0.880648584979322,0.880648584979322,0.271205788086662,0.3021240262678943174148825473,0.3021240262678943174148825473,0,8.65521579732498,37.303651897807763212003385853,37.303651897807763212003385853,2319568
